BTC-USDT,2020-01-28,9398.98
BTC-USDT,2020-01-29,9311
BTC-USDT,2020-01-30,9525.67
BTC-USDT,2020-01-31,9364.51
BTC-USDT,2020-02-01,9392.74
BTC-USDT,2020-02-02,9338.2
BTC-USDT,2020-02-03,9300.64
BTC-USDT,2020-02-04,9198.35
BTC-USDT,2020-02-05,9630
BTC-USDT,2020-02-06,9778.12
BTC-USDT,2020-02-07,9821.52
BTC-USDT,2020-02-08,9906.43
BTC-USDT,2020-02-09,10167.38
BTC-USDT,2020-02-10,9865.56
BTC-USDT,2020-02-11,10229.06
BTC-USDT,2020-02-12,10339.99
BTC-USDT,2020-02-13,10239.63
BTC-USDT,2020-02-14,10356.82
BTC-USDT,2020-02-15,9914.99
BTC-USDT,2020-02-16,9921.86
BTC-USDT,2020-02-17,9716
BTC-USDT,2020-02-18,10174.32
BTC-USDT,2020-02-19,9593.65
BTC-USDT,2020-02-20,9601.99
BTC-USDT,2020-02-21,9681.39
BTC-USDT,2020-02-22,9659.2
BTC-USDT,2020-02-23,9943.12
BTC-USDT,2020-02-24,9662.95
BTC-USDT,2020-02-25,9326
BTC-USDT,2020-02-26,8792.22
BTC-USDT,2020-02-27,8828
BTC-USDT,2020-02-28,8699.57
BTC-USDT,2020-02-29,8531.98
BTC-USDT,2020-03-01,8537.84
BTC-USDT,2020-03-02,8919.7
BTC-USDT,2020-03-03,8765
BTC-USDT,2020-03-04,8756.93
BTC-USDT,2020-03-05,9062.81
BTC-USDT,2020-03-06,9139.48
BTC-USDT,2020-03-07,8897.18
BTC-USDT,2020-03-08,8038.46
BTC-USDT,2020-03-09,7932.15
BTC-USDT,2020-03-10,7897.66
BTC-USDT,2020-03-11,7938.39
BTC-USDT,2020-03-12,4764.65
BTC-USDT,2020-03-13,5570.26
BTC-USDT,2020-03-14,5167.01
BTC-USDT,2020-03-15,5357.32
BTC-USDT,2020-03-16,5026.26
BTC-USDT,2020-03-17,5307.38
BTC-USDT,2020-03-18,5389.64
BTC-USDT,2020-03-19,6159.6
BTC-USDT,2020-03-20,6203.77
BTC-USDT,2020-03-21,6183.69
BTC-USDT,2020-03-22,5810.17
BTC-USDT,2020-03-23,6463.84
BTC-USDT,2020-03-24,6741.33
BTC-USDT,2020-03-25,6673.41
BTC-USDT,2020-03-26,6733.76
BTC-USDT,2020-03-27,6353.64
BTC-USDT,2020-03-28,6230.95
BTC-USDT,2020-03-29,5876.27
BTC-USDT,2020-03-30,6391.08
BTC-USDT,2020-03-31,6407.1
BTC-USDT,2020-04-01,6641.51
BTC-USDT,2020-04-02,6791.63
BTC-USDT,2020-04-03,6729.8
BTC-USDT,2020-04-04,6851.1
BTC-USDT,2020-04-05,6768.9
BTC-USDT,2020-04-06,7325.73
BTC-USDT,2020-04-07,7192.9
BTC-USDT,2020-04-08,7357.66
BTC-USDT,2020-04-09,7278.65
BTC-USDT,2020-04-10,6857.82
BTC-USDT,2020-04-11,6874.18
BTC-USDT,2020-04-12,6900.52
BTC-USDT,2020-04-13,6834
BTC-USDT,2020-04-14,6864.11
BTC-USDT,2020-04-15,6616.89
BTC-USDT,2020-04-16,7098.15
BTC-USDT,2020-04-17,7022.44
BTC-USDT,2020-04-18,7242.42
BTC-USDT,2020-04-19,7118.03
BTC-USDT,2020-04-20,6825.29
BTC-USDT,2020-04-21,6838
BTC-USDT,2020-04-22,7120.06
BTC-USDT,2020-04-23,7483.35
BTC-USDT,2020-04-24,7504.11
BTC-USDT,2020-04-25,7534.01
BTC-USDT,2020-04-26,7694.17
BTC-USDT,2020-04-27,7774
BTC-USDT,2020-04-28,7735.75
BTC-USDT,2020-04-29,8784.2
BTC-USDT,2020-04-30,8624.76
BTC-USDT,2020-05-01,8830.52
BTC-USDT,2020-05-02,8975.18
BTC-USDT,2020-05-03,8900
BTC-USDT,2020-05-04,8873.98
BTC-USDT,2020-05-05,9022.78
BTC-USDT,2020-05-06,9148.27
BTC-USDT,2020-05-07,9995
BTC-USDT,2020-05-08,9807.49
BTC-USDT,2020-05-09,9550.67
BTC-USDT,2020-05-10,8719.53
BTC-USDT,2020-05-11,8561.09
BTC-USDT,2020-05-12,8808.71
BTC-USDT,2020-05-13,9305.91
BTC-USDT,2020-05-14,9786.8
BTC-USDT,2020-05-15,9310.73
BTC-USDT,2020-05-16,9374.99
BTC-USDT,2020-05-17,9678.57
BTC-USDT,2020-05-18,9731.1
BTC-USDT,2020-05-19,9773.64
BTC-USDT,2020-05-20,9508.11
BTC-USDT,2020-05-21,9060
BTC-USDT,2020-05-22,9166.4
BTC-USDT,2020-05-23,9176.41
BTC-USDT,2020-05-24,8711.37
BTC-USDT,2020-05-25,8895.65
BTC-USDT,2020-05-26,8837.05
BTC-USDT,2020-05-27,9197.32
BTC-USDT,2020-05-28,9569.59
BTC-USDT,2020-05-29,9422.26
BTC-USDT,2020-05-30,9695
BTC-USDT,2020-05-31,9446.43
BTC-USDT,2020-06-01,10232.48
BTC-USDT,2020-06-02,9514.9
BTC-USDT,2020-06-03,9663.59
